航班ID,日期,国际/国内,航班号,起飞机场,降落机场,起飞时间,降落时间,飞机ID,机型,旅客数,联程旅客数,座位数,重要系数
60,2017/5/7,国内,355,49,72,2017/5/7 11:15,2017/5/7 14:10,29,3,126,0,163,1.0 
61,2017/5/8,国内,355,49,72,2017/5/8 11:15,2017/5/8 14:10,29,3,111,0,163,1.0 
62,2017/5/5,国内,353,32,71,2017/5/5 10:10,2017/5/5 11:45,90,2,115,10,155,1.0 
63,2017/5/6,国内,353,32,71,2017/5/6 10:10,2017/5/6 11:45,7,2,84,50,161,1.0 
64,2017/5/7,国内,353,32,71,2017/5/7 10:10,2017/5/7 11:45,92,2,91,29,155,1.0 
65,2017/5/8,国内,353,32,71,2017/5/8 10:10,2017/5/8 11:45,90,2,74,52,155,1.0 
66,2017/5/5,国际,362,49,36,2017/5/5 9:30,2017/5/5 10:45,24,4,41,54,213,1.5 
67,2017/5/7,国内,351,49,68,2017/5/7 18:20,2017/5/7 20:25,41,1,63,0,119,1.0 
68,2017/5/8,国内,351,49,68,2017/5/8 18:20,2017/5/8 20:25,30,1,46,0,119,1.0 
69,2017/5/6,国际,373,4,36,2017/5/6 4:25,2017/5/6 18:15,24,4,134,79,213,2.0 
70,2017/5/5,国内,390,50,48,2017/5/5 15:55,2017/5/5 19:05,44,1,119,0,119,1.0 
71,2017/5/7,国内,390,50,48,2017/5/7 15:55,2017/5/7 19:05,40,1,43,0,119,1.0 
72,2017/5/8,国内,390,50,48,2017/5/8 15:55,2017/5/8 19:05,45,1,54,0,119,1.0 
73,2017/5/6,国际,373,36,49,2017/5/6 20:25,2017/5/6 21:40,24,4,7,79,213,1.5 
74,2017/5/6,国内,381,49,67,2017/5/6 7:10,2017/5/6 9:50,45,1,89,10,119,1.0 
75,2017/5/8,国内,381,49,67,2017/5/8 7:10,2017/5/8 9:50,44,1,50,16,119,1.0 
76,2017/5/5,国内,386,49,67,2017/5/5 21:05,2017/5/5 23:35,140,2,121,0,183,1.0 
77,2017/5/6,国内,386,49,67,2017/5/6 21:05,2017/5/6 23:35,121,2,119,0,183,1.0 
78,2017/5/7,国内,386,49,67,2017/5/7 21:05,2017/5/7 23:35,120,2,81,0,183,1.0 
79,2017/5/8,国内,386,49,67,2017/5/8 21:05,2017/5/8 23:35,121,2,44,0,183,1.0 
80,2017/5/6,国内,381,67,69,2017/5/6 10:55,2017/5/6 13:40,45,1,101,10,119,1.0 
81,2017/5/8,国内,381,67,69,2017/5/8 10:55,2017/5/8 13:40,44,1,82,16,119,1.0 
82,2017/5/7,国内,399,50,38,2017/5/7 18:40,2017/5/7 20:15,65,2,54,22,161,1.0 
83,2017/5/5,国内,391,48,50,2017/5/5 20:15,2017/5/5 23:00,44,1,119,0,119,1.0 
84,2017/5/7,国内,391,48,50,2017/5/7 20:15,2017/5/7 23:00,40,1,73,0,119,1.0 
85,2017/5/8,国内,391,48,50,2017/5/8 20:15,2017/5/8 23:00,45,1,47,0,119,1.0 
86,2017/5/5,国内,368,50,68,2017/5/5 8:50,2017/5/5 11:05,46,1,99,0,119,1.0 
87,2017/5/6,国内,368,50,68,2017/5/6 8:50,2017/5/6 11:05,101,2,123,0,161,1.0 
88,2017/5/7,国内,368,50,68,2017/5/7 8:50,2017/5/7 11:05,98,2,114,0,161,1.0 
89,2017/5/8,国内,368,50,68,2017/5/8 8:50,2017/5/8 11:05,45,1,74,0,119,1.0 
90,2017/5/5,国内,381,49,67,2017/5/5 7:10,2017/5/5 9:50,45,1,112,11,119,1.0 
91,2017/5/5,国内,381,67,69,2017/5/5 10:55,2017/5/5 13:40,45,1,107,11,119,1.0 
92,2017/5/5,国内,387,67,49,2017/5/5 11:45,2017/5/5 14:15,132,2,122,0,183,1.0 
93,2017/5/8,国内,387,67,49,2017/5/8 11:45,2017/5/8 14:15,131,2,128,0,183,1.0 
94,2017/5/5,国内,382,69,67,2017/5/5 14:30,2017/5/5 16:55,45,1,76,49,119,1.0 
95,2017/5/7,国内,382,69,67,2017/5/7 14:30,2017/5/7 16:55,44,1,37,48,119,1.0 
96,2017/5/5,国内,382,67,49,2017/5/5 17:55,2017/5/5 20:25,45,1,38,49,119,1.0 
97,2017/5/7,国内,382,67,49,2017/5/7 17:55,2017/5/7 20:25,44,1,33,48,119,1.0 
98,2017/5/6,国内,387,67,49,2017/5/6 11:45,2017/5/6 14:15,5,2,114,0,183,1.0 
99,2017/5/7,国内,387,67,49,2017/5/7 11:45,2017/5/7 14:15,124,2,101,0,183,1.0 
100,2017/5/5,国内,369,68,50,2017/5/5 11:55,2017/5/5 14:10,46,1,111,0,119,1.0 
101,2017/5/6,国内,369,68,50,2017/5/6 11:55,2017/5/6 14:10,101,2,132,0,161,1.0 
102,2017/5/7,国内,369,68,50,2017/5/7 11:55,2017/5/7 14:10,98,2,94,0,161,1.0 
103,2017/5/8,国内,369,68,50,2017/5/8 11:55,2017/5/8 14:10,45,1,63,0,119,1.0 
104,2017/5/6,国际,384,37,49,2017/5/6 14:10,2017/5/6 16:15,115,2,86,21,161,1.5 
105,2017/5/8,国际,384,37,49,2017/5/8 14:10,2017/5/8 16:15,12,2,79,20,161,1.5 
106,2017/5/6,国际,395,21,49,2017/5/6 9:20,2017/5/6 13:50,13,2,83,25,161,1.5 
107,2017/5/8,国际,395,21,49,2017/5/8 9:20,2017/5/8 14:00,93,2,60,57,155,1.5 
108,2017/5/6,国际,395,49,37,2017/5/6 15:10,2017/5/6 17:30,13,2,73,25,161,1.5 
109,2017/5/8,国际,395,49,37,2017/5/8 15:10,2017/5/8 17:30,93,2,43,57,155,1.5 
110,2017/5/6,国际,384,49,21,2017/5/6 17:30,2017/5/6 22:00,115,2,75,21,161,1.5 
111,2017/5/8,国际,384,49,21,2017/5/8 17:30,2017/5/8 22:00,12,2,31,20,161,1.5 
112,2017/5/5,国内,409,67,49,2017/5/5 15:00,2017/5/5 17:20,106,2,119,0,161,1.0 
113,2017/5/6,国内,409,67,49,2017/5/6 15:00,2017/5/6 17:20,77,2,99,0,155,1.0 
114,2017/5/7,国内,400,38,50,2017/5/7 10:55,2017/5/7 12:20,80,2,64,47,161,1.0 
115,2017/5/8,国内,400,67,38,2017/5/8 8:30,2017/5/8 9:55,17,2,77,53,161,1.0 
116,2017/5/5,国内,414,62,49,2017/5/5 9:20,2017/5/5 11:15,47,2,74,0,161,1.0 
117,2017/5/7,国内,414,62,49,2017/5/7 9:20,2017/5/7 11:15,6,2,40,0,161,1.0 
118,2017/5/8,国内,414,62,49,2017/5/8 9:20,2017/5/8 11:15,80,2,75,0,161,1.0 
119,2017/5/8,国内,400,38,50,2017/5/8 10:55,2017/5/8 12:20,17,2,73,53,161,1.0 
120,2017/5/5,国内,400,67,38,2017/5/5 8:30,2017/5/5 9:55,55,2,75,66,161,1.0 
121,2017/5/5,国内,400,38,50,2017/5/5 10:55,2017/5/5 12:20,55,2,95,66,161,1.0 
122,2017/5/5,国内,415,32,49,2017/5/5 7:25,2017/5/5 8:55,36,2,161,0,161,1.0 
123,2017/5/6,国内,415,32,49,2017/5/6 7:25,2017/5/6 8:55,131,2,177,0,183,1.0 
124,2017/5/7,国内,415,32,49,2017/5/7 7:25,2017/5/7 8:55,84,2,158,0,161,1.0 
125,2017/5/8,国内,415,32,49,2017/5/8 7:25,2017/5/8 8:55,48,2,124,0,161,1.0 
126,2017/5/5,国内,401,50,67,2017/5/5 13:45,2017/5/5 16:15,40,1,110,0,119,1.0 
127,2017/5/6,国内,401,50,67,2017/5/6 13:45,2017/5/6 16:15,33,1,91,0,119,1.0 
128,2017/5/7,国内,401,50,67,2017/5/7 13:45,2017/5/7 16:15,33,1,96,0,119,1.0 
129,2017/5/8,国内,401,50,67,2017/5/8 13:45,2017/5/8 16:15,33,1,65,0,119,1.0 
130,2017/5/6,国内,407,72,49,2017/5/6 6:35,2017/5/6 9:20,141,2,168,0,183,1.0 
131,2017/5/7,国内,407,72,49,2017/5/7 6:35,2017/5/7 9:20,90,2,137,0,155,1.0 
132,2017/5/5,国内,407,72,49,2017/5/5 6:35,2017/5/5 9:20,130,2,173,0,183,1.0 
133,2017/5/8,国内,407,72,49,2017/5/8 6:35,2017/5/8 9:20,134,2,153,0,183,1.0 
134,2017/5/7,国内,402,67,50,2017/5/7 17:15,2017/5/7 19:35,33,1,71,0,119,1.0 
135,2017/5/5,国内,408,49,67,2017/5/5 11:05,2017/5/5 13:45,106,2,125,0,161,1.0 
136,2017/5/6,国内,408,49,67,2017/5/6 11:05,2017/5/6 13:45,77,2,110,0,155,1.0 
137,2017/5/7,国内,408,49,67,2017/5/7 11:05,2017/5/7 13:45,59,2,71,0,161,1.0 
138,2017/5/8,国内,408,49,67,2017/5/8 11:05,2017/5/8 13:45,30,1,92,0,119,1.0 
139,2017/5/6,国内,414,62,49,2017/5/6 9:20,2017/5/6 11:15,10,2,66,0,161,1.0 
140,2017/5/5,国内,402,67,50,2017/5/5 17:15,2017/5/5 19:35,40,1,113,0,119,1.0 
141,2017/5/6,国内,402,67,50,2017/5/6 17:15,2017/5/6 19:35,33,1,87,0,119,1.0 
142,2017/5/8,国内,402,67,50,2017/5/8 17:15,2017/5/8 19:35,33,1,51,0,119,1.0 
143,2017/5/7,国内,399,38,67,2017/5/7 21:15,2017/5/7 22:50,65,2,91,22,161,1.0 
144,2017/5/5,国内,399,50,38,2017/5/5 18:40,2017/5/5 20:15,72,2,102,47,161,1.0 
145,2017/5/8,国内,399,50,38,2017/5/8 18:40,2017/5/8 20:15,96,2,64,15,161,1.0 
146,2017/5/5,国内,413,49,62,2017/5/5 7:00,2017/5/5 8:50,69,2,142,0,161,1.0 
147,2017/5/6,国内,413,49,62,2017/5/6 7:00,2017/5/6 8:50,15,2,91,0,161,1.0 
148,2017/5/7,国内,413,49,62,2017/5/7 7:00,2017/5/7 8:50,50,2,79,0,161,1.0 
149,2017/5/8,国内,413,49,62,2017/5/8 7:00,2017/5/8 8:50,92,2,76,0,155,1.0 
150,2017/5/5,国内,399,38,67,2017/5/5 21:15,2017/5/5 22:50,72,2,99,47,161,1.0 
151,2017/5/8,国内,399,38,67,2017/5/8 21:15,2017/5/8 22:50,96,2,44,15,161,1.0 
152,2017/5/7,国内,409,67,49,2017/5/7 15:00,2017/5/7 17:20,59,2,84,0,161,1.0 
153,2017/5/8,国内,409,67,49,2017/5/8 15:00,2017/5/8 17:20,30,1,78,0,119,1.0 
154,2017/5/5,国内,405,49,72,2017/5/5 20:30,2017/5/5 23:30,141,2,146,0,183,1.0 
155,2017/5/6,国内,405,49,72,2017/5/6 20:30,2017/5/6 23:30,90,2,109,0,155,1.0 
156,2017/5/7,国内,405,49,72,2017/5/7 20:30,2017/5/7 23:30,134,2,115,0,183,1.0 
157,2017/5/8,国内,405,49,72,2017/5/8 20:30,2017/5/8 23:30,82,2,98,0,161,1.0 
158,2017/5/7,国内,400,67,38,2017/5/7 8:30,2017/5/7 9:55,80,2,34,47,161,1.0 
159,2017/5/6,国际,430,49,37,2017/5/6 21:10,2017/5/6 23:20,105,2,38,40,161,1.5 
160,2017/5/5,国内,418,62,49,2017/5/5 20:20,2017/5/5 22:15,54,2,118,0,161,1.0 
161,2017/5/5,国内,428,49,62,2017/5/5 20:55,2017/5/5 22:45,41,1,85,0,119,1.0 
162,2017/5/6,国内,428,49,62,2017/5/6 20:55,2017/5/6 22:45,6,2,32,0,161,1.0 
163,2017/5/7,国内,428,49,62,2017/5/7 21:05,2017/5/7 22:45,30,1,52,0,119,1.0 
164,2017/5/8,国内,428,49,62,2017/5/8 20:55,2017/5/8 22:45,43,1,28,0,119,1.0 
165,2017/5/5,国内,419,49,57,2017/5/5 7:45,2017/5/5 9:35,88,2,98,0,155,1.0 
166,2017/5/6,国内,419,49,57,2017/5/6 7:45,2017/5/6 9:35,19,2,95,0,161,1.0 
167,2017/5/7,国内,419,49,57,2017/5/7 7:45,2017/5/7 9:35,48,2,76,0,161,1.0 
168,2017/5/8,国内,419,49,57,2017/5/8 7:45,2017/5/8 9:35,19,2,112,0,161,1.0 
169,2017/5/5,国际,422,49,22,2017/5/5 11:45,2017/5/5 16:10,104,2,85,28,161,1.5 
170,2017/5/6,国际,422,49,22,2017/5/6 11:45,2017/5/6 16:10,16,2,93,23,161,1.5 
171,2017/5/7,国际,422,49,22,2017/5/7 11:45,2017/5/7 16:10,105,2,111,26,161,1.5 
172,2017/5/8,国际,422,49,22,2017/5/8 11:45,2017/5/8 16:10,108,2,47,4,161,1.5 
173,2017/5/5,国内,431,49,62,2017/5/5 12:30,2017/5/5 14:15,47,2,103,0,161,1.0 
174,2017/5/6,国内,431,49,62,2017/5/6 12:30,2017/5/6 14:15,91,2,70,0,155,1.0 
175,2017/5/7,国内,431,49,62,2017/5/7 12:30,2017/5/7 14:15,41,1,68,0,119,1.0 
176,2017/5/8,国内,431,49,62,2017/5/8 12:30,2017/5/8 14:15,80,2,98,0,161,1.0 
177,2017/5/5,国内,416,49,32,2017/5/5 22:00,2017/5/5 23:45,126,2,176,0,183,1.0 
178,2017/5/6,国内,416,49,32,2017/5/6 22:00,2017/5/6 23:45,9,2,146,0,161,1.0 
179,2017/5/7,国内,416,49,32,2017/5/7 22:00,2017/5/7 23:45,48,2,142,0,161,1.0 
180,2017/5/8,国内,416,49,32,2017/5/8 22:00,2017/5/8 23:45,57,2,113,0,161,1.0 
181,2017/5/5,国内,429,62,49,2017/5/5 7:30,2017/5/5 9:20,58,2,55,0,161,1.0 
182,2017/5/8,国内,429,62,49,2017/5/8 7:30,2017/5/8 9:20,30,1,78,0,119,1.0 
183,2017/5/5,国内,420,57,49,2017/5/5 10:50,2017/5/5 12:35,88,2,145,0,155,1.0 
184,2017/5/6,国内,420,57,49,2017/5/6 10:50,2017/5/6 12:35,19,2,126,0,161,1.0 
185,2017/5/7,国内,420,57,49,2017/5/7 10:50,2017/5/7 12:35,48,2,100,0,161,1.0 
186,2017/5/8,国内,420,57,49,2017/5/8 10:50,2017/5/8 12:35,19,2,133,0,161,1.0 
187,2017/5/6,国内,423,62,49,2017/5/6 17:20,2017/5/6 19:10,6,2,48,0,161,1.0 
188,2017/5/7,国内,423,62,49,2017/5/7 17:20,2017/5/7 19:10,102,2,49,0,161,1.0 
189,2017/5/5,国内,423,62,49,2017/5/5 17:20,2017/5/5 19:10,59,2,105,0,161,1.0 
190,2017/5/8,国内,423,62,49,2017/5/8 17:20,2017/5/8 19:10,57,2,34,0,161,1.0 
191,2017/5/6,国内,429,62,49,2017/5/6 7:30,2017/5/6 9:20,41,1,49,0,119,1.0 
192,2017/5/7,国内,429,62,49,2017/5/7 7:30,2017/5/7 9:20,37,2,84,0,161,1.0 
193,2017/5/5,国内,417,49,62,2017/5/5 17:30,2017/5/5 19:15,54,2,112,0,161,1.0 
194,2017/5/7,国内,417,49,62,2017/5/7 17:30,2017/5/7 19:15,56,2,54,0,161,1.0 
195,2017/5/5,国际,430,22,49,2017/5/5 15:40,2017/5/5 20:10,115,2,109,19,161,1.5 
196,2017/5/7,国际,430,22,49,2017/5/7 15:40,2017/5/7 20:10,108,2,95,50,161,1.5 
197,2017/5/8,国际,430,22,49,2017/5/8 15:40,2017/5/8 19:55,95,2,90,14,155,1.5 
198,2017/5/5,国内,421,49,62,2017/5/5 14:30,2017/5/5 16:15,59,2,157,0,161,1.0 
199,2017/5/6,国内,421,49,62,2017/5/6 14:30,2017/5/6 16:15,6,2,62,0,161,1.0 
200,2017/5/7,国内,421,49,62,2017/5/7 14:30,2017/5/7 16:15,102,2,45,0,161,1.0 
201,2017/5/8,国内,421,49,62,2017/5/8 14:30,2017/5/8 16:15,57,2,49,0,161,1.0 
202,2017/5/5,国内,424,49,62,2017/5/5 8:55,2017/5/5 10:40,56,2,128,0,161,1.0 
203,2017/5/6,国内,424,49,62,2017/5/6 8:55,2017/5/6 10:40,30,1,72,0,119,1.0 
204,2017/5/7,国内,424,49,62,2017/5/7 8:55,2017/5/7 10:40,26,3,80,0,157,1.0 
205,2017/5/8,国内,424,49,62,2017/5/8 8:55,2017/5/8 10:40,57,2,95,0,161,1.0 
206,2017/5/5,国际,430,49,37,2017/5/5 21:10,2017/5/5 23:20,115,2,85,19,161,1.5 
207,2017/5/7,国际,430,49,37,2017/5/7 21:10,2017/5/7 23:20,108,2,79,50,161,1.5 
208,2017/5/8,国际,430,49,37,2017/5/8 21:10,2017/5/8 23:20,95,2,55,14,155,1.5 
209,2017/5/7,国内,418,62,49,2017/5/7 20:20,2017/5/7 22:15,56,2,78,0,161,1.0 
210,2017/5/5,国际,422,37,49,2017/5/5 8:35,2017/5/5 10:40,104,2,68,28,161,1.5 
211,2017/5/6,国际,422,37,49,2017/5/6 8:35,2017/5/6 10:40,16,2,80,23,161,1.5 
212,2017/5/7,国际,422,37,49,2017/5/7 8:35,2017/5/7 10:40,105,2,67,26,161,1.5 
213,2017/5/8,国际,422,37,49,2017/5/8 8:35,2017/5/8 10:40,108,2,101,4,161,1.5 
214,2017/5/5,国内,425,62,49,2017/5/5 11:40,2017/5/5 13:30,56,2,88,0,161,1.0 
215,2017/5/7,国内,425,62,49,2017/5/7 11:40,2017/5/7 13:30,26,3,67,0,157,1.0 
216,2017/5/6,国际,430,22,49,2017/5/6 15:40,2017/5/6 19:55,105,2,117,40,161,1.5 
217,2017/5/6,国内,425,62,49,2017/5/6 11:40,2017/5/6 13:30,30,1,52,0,119,1.0 
218,2017/5/8,国内,425,62,49,2017/5/8 11:40,2017/5/8 13:30,57,2,49,0,161,1.0 
219,2017/5/8,国内,444,62,50,2017/5/8 15:05,2017/5/8 16:30,65,2,46,0,161,1.0 
220,2017/5/5,国际,454,49,27,2017/5/5 14:15,2017/5/5 17:15,8,2,59,15,161,1.5 
221,2017/5/7,国际,454,49,27,2017/5/7 14:15,2017/5/7 17:15,8,2,67,30,161,1.5 
222,2017/5/7,国内,439,62,49,2017/5/7 19:00,2017/5/7 21:00,75,2,56,0,161,1.0 
223,2017/5/5,国内,439,62,49,2017/5/5 19:00,2017/5/5 21:00,30,1,89,0,119,1.0 
224,2017/5/5,国内,444,62,50,2017/5/5 15:05,2017/5/5 16:30,117,2,155,0,161,1.0 
225,2017/5/6,国内,444,62,50,2017/5/6 15:05,2017/5/6 16:30,65,2,85,0,161,1.0 
226,2017/5/5,国内,455,50,62,2017/5/5 18:30,2017/5/5 19:50,26,3,122,0,157,1.0 
227,2017/5/7,国内,455,50,62,2017/5/7 18:30,2017/5/7 19:50,55,2,45,0,161,1.0 
228,2017/5/8,国内,455,50,62,2017/5/8 18:30,2017/5/8 19:50,53,2,34,0,161,1.0 
229,2017/5/7,国际,441,16,49,2017/5/7 14:20,2017/5/7 17:30,7,2,138,0,161,1.5 
230,2017/5/5,国内,447,49,62,2017/5/5 19:00,2017/5/5 20:45,93,2,94,0,155,1.0 
231,2017/5/6,国内,447,49,62,2017/5/6 19:00,2017/5/6 20:45,48,2,90,0,161,1.0 
232,2017/5/7,国内,447,49,62,2017/5/7 19:00,2017/5/7 20:45,57,2,63,0,161,1.0 
233,2017/5/8,国内,447,49,62,2017/5/8 19:00,2017/5/8 20:45,29,3,60,0,163,1.0 
234,2017/5/7,国际,434,49,16,2017/5/7 9:30,2017/5/7 12:45,7,2,114,0,161,1.5 
235,2017/5/7,国内,456,62,50,2017/5/7 21:05,2017/5/7 22:35,55,2,55,0,161,1.0 
236,2017/5/8,国内,456,62,50,2017/5/8 21:05,2017/5/8 22:35,53,2,43,0,161,1.0 
237,2017/5/5,国际,441,16,49,2017/5/5 13:50,2017/5/5 17:10,18,2,154,0,161,1.5 
238,2017/5/6,国际,441,16,49,2017/5/6 14:20,2017/5/6 17:30,58,2,149,0,161,1.5 
239,2017/5/8,国际,441,16,49,2017/5/8 14:20,2017/5/8 17:30,6,2,146,0,161,1.5 
240,2017/5/6,国内,448,62,49,2017/5/6 21:45,2017/5/6 23:35,48,2,57,0,161,1.0 
241,2017/5/5,国内,457,49,57,2017/5/5 15:00,2017/5/5 16:45,109,2,116,0,161,1.0 
242,2017/5/6,国内,457,49,57,2017/5/6 15:00,2017/5/6 16:45,18,2,86,0,161,1.0 
243,2017/5/7,国内,457,49,57,2017/5/7 15:00,2017/5/7 16:45,94,2,94,0,161,1.0 
244,2017/5/8,国内,457,49,57,2017/5/8 15:00,2017/5/8 16:45,102,2,74,0,161,1.0 
245,2017/5/5,国际,434,49,16,2017/5/5 9:30,2017/5/5 12:50,18,2,69,0,161,1.5 
246,2017/5/6,国际,434,49,16,2017/5/6 9:30,2017/5/6 12:45,58,2,161,0,161,1.5 
247,2017/5/8,国际,434,49,16,2017/5/8 9:30,2017/5/8 12:45,6,2,141,0,161,1.5 
248,2017/5/7,国内,448,62,49,2017/5/7 21:45,2017/5/7 23:35,57,2,78,0,161,1.0 
249,2017/5/5,国内,456,62,50,2017/5/5 21:05,2017/5/5 22:35,26,3,117,0,157,1.0 
250,2017/5/6,国内,456,62,50,2017/5/6 21:05,2017/5/6 22:35,44,1,48,0,119,1.0 
251,2017/5/5,国内,438,49,62,2017/5/5 16:00,2017/5/5 17:45,95,2,125,0,155,1.0 
252,2017/5/6,国内,438,49,62,2017/5/6 16:00,2017/5/6 17:45,94,2,51,0,161,1.0 
